"rep","mes","tick_extinct"
"22401089",92,69,1802
"22423233",98,69,22902
"22438295",3,70,8102
"22447309",6,70,3902
"22486259",17,70,3402
"22510511",24,70,1802
"22549490",38,70,5802
"22589193",48,70,5702
"22609699",55,70,1702
"22615055",57,70,34502
"22697498",81,70,36802
"22709542",86,70,11102
"22719278",90,70,6202
"22719467",92,70,2202
"22769468",4,71,3502
"22826285",20,71,15002
"22860450",28,71,36202
"22903255",39,71,4502
"22908667",41,71,40102
"22929115",51,71,5202
"22943668",55,71,502
"22990722",67,71,4802
"23033707",79,71,2902
"23051643",85,71,5002
"23073412",92,71,1102
"23112608",4,72,6202
"23116668",6,72,4502
"23229910",38,72,9902
"23240223",41,72,30102
"23266919",51,72,14002
"23279548",55,72,702
"23328737",67,72,4202
"23380325",79,72,2902
"23385373",81,72,3702
"23401258",86,72,6602
"23416168",92,72,1302
"23452221",4,73,5502
"23455692",6,73,3802
"23495174",17,73,5202
"23495323",18,73,13902
"23500521",20,73,18702
"23507863",24,73,11202
"23513603",27,73,20202
"23513679",28,73,6602
"23561908",41,73,31902
"23593311",51,73,13102
"23606071",55,73,2502
"23626287",61,73,6302
"23645901",67,73,402
"23688975",79,73,8602
"23702441",85,73,6102
"23702543",86,73,9202
"23722279",92,73,11102
"23766496",4,74,2202
"23817619",17,74,2102
"23817802",18,74,17302
"23822894",20,74,8102
"23886376",39,74,17002
"23928860",51,74,40402
"23937850",55,74,2002
"23986525",67,74,1002
"24026837",79,74,4702
"24029131",81,74,6802
"24039477",85,74,2102
"24044572",87,74,8402
"24061677",92,74,802
"24151434",17,75,6002
"24151519",18,75,7502
"24175024",24,75,5602
"24236050",38,75,1102
"24246204",41,75,14202
"24263062",48,75,7302
"24273238",51,75,16402
"24284210",55,75,702
"24300813",61,75,29402
"24323912",67,75,2802
"24354921",77,75,15602
"24359978",79,75,4602
"24365049",81,75,6002
"24398881",92,75,1002
"24443822",6,76,14302
"24492652",17,76,4202
"24528266",28,76,4502
"24567685",38,76,4902
"24567842",39,76,14702
"24573157",41,76,30402
"24621049",55,76,1902
"24663313",67,76,2602
"24702183",79,76,1902
"24715734",85,76,7002
"24715756",86,76,1202
"24726135",89,76,36702
"24728994",92,76,1102
"24777226",4,77,4502
"24782320",6,77,8302
"24828729",17,77,4202
"24838100",20,77,6402
"24850554",24,77,17802
"24862751",28,77,7602
"24904492",38,77,11102
"24938641",48,77,4102
"24943785",51,77,8402
"24955398",55,77,7702
"25053575",79,77,6802
"25058640",81,77,5402
"25068894",85,77,2002
"25069030",86,77,12602
"25083107",92,77,6702
"25121516",4,78,6602
"25154728",17,78,5102
"25175306",24,78,7002
"25224292",38,78,2802
"25280432",55,78,1002
"25283253",57,78,16402
"25293327",61,78,3902
"25314338",67,78,3402
"25361338",79,78,7702
"25364843",81,78,5202
"25376724",85,78,5502
"25402427",92,78,1502
"25441047",4,79,16102
"25446098",6,79,4002
"25475788",17,79,28302
"25475857",18,79,5902
"25547227",38,79,2602
