C1,C2,C3,C4,r1_sing,r2_sing,a1_sing,a2_sing,r1,r2,a11,a22,a12,a21,N1_equilibrium,N2_equilibrium,outcome_single,outcome_pair
-2.06e-05,3.2,-2.0000000000000003e-06,2.8877551020408165,[0.3125],[0.34628975],[-5.59966057e-05],[-5.43656366e-06],1.9009374218781612,0.3471549388636458,-0.009029848111210858,-5.450163599394331e-06,-2.5e-05,-2.5e-05,34.60744811795911,63537.49687425521,False,True
-2.06e-05,3.2,-2.0000000000000003e-06,2.979591836734694,[0.3125],[0.33561644],[-5.59966057e-05],[-5.43656366e-06],0.7575222553302549,0.07838366219532292,-0.0002326097816794592,-2.526155294771649e-06,-2.5e-05,-2.5e-05,1229.493724035259,18861.19954424592,False,False
-2.06e-05,3.2,-2.0000000000000003e-06,3.0714285714285716,[0.3125],[0.3255814],[-5.59966057e-05],[-5.43656366e-06],1.8042727651291757,0.3267602182283705,-0.006627373986216002,-5.456283339028046e-06,-2.5e-05,-2.5e-05,47.152914659642455,59670.910605583915,False,True
-2.06e-05,3.2,-2.0000000000000003e-06,3.163265306122449,[0.3125],[0.31612903],[-5.59966057e-05],[-5.43656366e-06],0.7595948187952829,0.07915915611443049,-0.00023415762412091608,-2.5690818872318576e-06,-2.5e-05,-2.5e-05,1174.4661754517385,19383.384381645013,False,False
-2.06e-05,3.2,-2.0000000000000003e-06,3.2551020408163267,[0.3125],[0.30721003],[-5.59966057e-05],[-5.43656366e-06],0.7605928382678931,0.07961380475648533,-0.00023490663991534739,-2.5916590718057435e-06,-2.5e-05,-2.5e-05,1181.8109046560714,19319.104385592582,False,False
-2.06e-05,3.2,-2.0000000000000003e-06,3.3469387755102042,[0.3125],[0.29878049],[-5.59966057e-05],[-5.43656366e-06],0.7586671854874086,0.0800419748446162,-0.00023346357503087168,-2.6144212921583643e-06,-2.5e-05,-2.5e-05,1201.3875934209648,19127.47771718427,False,False
-2.06e-05,3.2,-2.0000000000000003e-06,3.438775510204082,[0.3125],[0.29080119],[-5.59966057e-05],[-5.43656366e-06],0.7601577929770245,0.08050753998734686,-0.00023457984335425016,-2.6379300495037464e-06,-2.5e-05,-2.5e-05,1201.8849049423861,19128.792809832354,False,False
-2.06e-05,3.2,-2.0000000000000003e-06,3.5306122448979593,[0.3125],[0.28323699],[-5.59966057e-05],[-5.43656366e-06],1.6047385360656732,0.2854692796128801,-0.0034997765101843358,-5.47958032338507e-06,-2.5e-05,-2.5e-05,89.29141591918128,51689.54144282493,False,True
-2.06e-05,3.2,-2.0000000000000003e-06,3.622448979591837,[0.3125],[0.27605634],[-5.59966057e-05],[-5.43656366e-06],0.8073744476209476,0.0814696266352056,-0.00027284102735259226,-2.6865739207243666e-06,-2.5e-05,-2.5e-05,1225.196035631811,18923.628102033665,False,True
-2.06e-05,3.2,-2.0000000000000003e-06,3.7142857142857144,[0.3125],[0.26923077],[-5.59966057e-05],[-5.43656366e-06],1.5379080229897741,0.271995334894265,-0.002825941180582562,-5.492675993688275e-06,-2.5e-05,-2.5e-05,110.58262717681247,49016.320919752456,False,True
-2.06e-05,3.2,-2.0000000000000003e-06,3.806122448979592,[0.3125],[0.26273458],[-5.59966057e-05],[-5.43656366e-06],1.5067173053633336,0.26578932249860326,-0.002557502442752335,-5.500141876433789e-06,-2.5e-05,-2.5e-05,122.18952156180856,47768.692219610755,False,True
